game_num,completed_at,first_guess,word,turns
25,2022-01-12 01:22:47.331039,there,sence,3
26,2022-01-12 01:22:47.456685,there,larks,5
27,2022-01-12 01:22:47.578556,there,fanta,6
28,2022-01-12 01:22:47.712514,there,vamos,6
29,2022-01-12 01:22:47.845369,there,fucks,6
30,2022-01-12 01:22:47.958806,there,timey,4
31,2022-01-12 01:22:48.094066,there,amaya,6
32,2022-01-12 01:22:48.214304,there,geeta,4
33,2022-01-12 01:22:48.334266,there,merit,3
34,2022-01-12 01:22:48.457769,there,rider,6
35,2022-01-12 01:22:48.580700,there,ewald,5
36,2022-01-12 01:22:48.698171,there,shiki,7
37,2022-01-12 01:22:48.820882,there,lukes,7
38,2022-01-12 01:22:48.939505,there,surly,4
39,2022-01-12 01:22:49.062751,there,nepal,5
40,2022-01-12 01:22:49.193585,there,bannu,5
41,2022-01-12 01:22:49.309408,there,libro,3
42,2022-01-12 01:22:49.441820,there,kuban,5
43,2022-01-12 01:22:49.559429,there,pesto,4
44,2022-01-12 01:22:49.721712,there,xxxii,6
45,2022-01-12 01:22:49.844625,there,crone,7
46,2022-01-12 01:22:49.983093,there,payin,6
47,2022-01-12 01:22:50.112121,there,jaber,8
48,2022-01-12 01:22:50.246505,there,enjoy,4
49,2022-01-12 01:22:50.361273,there,stork,5
50,2022-01-12 01:22:50.488056,there,bowen,4
51,2022-01-12 01:22:50.611887,there,potty,5
52,2022-01-12 01:22:50.733795,there,press,3
53,2022-01-12 01:22:50.860663,there,abram,5
54,2022-01-12 01:22:50.994114,there,kimmy,5
55,2022-01-12 01:22:51.116727,there,naive,5
56,2022-01-12 01:22:51.247466,there,lobos,6
57,2022-01-12 01:22:51.386946,there,as000,6
58,2022-01-12 01:22:51.508477,there,timmy,4
59,2022-01-12 01:22:51.645770,there,ponca,6
60,2022-01-12 01:22:51.763545,there,hindi,5
61,2022-01-12 01:22:51.899276,there,mould,4
62,2022-01-12 01:22:52.021100,there,sorel,4
63,2022-01-12 01:22:52.146143,there,elven,6
